a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
1.8,2:0,2,中国,4,33.3,6,16.3,5,7.8,2,0,5,-9.5,5,-20.5,5,-36.0,5,-35.7,9,14.3,7,-3.6,8,-3.9,5,2.6,2.0,4.0,14.0,5.0,3.45,3.55,5.25,8.75,16.0,22.5,2.2,4.4,6.2,6.2,1.35,4.85,1.35,0,3.5,0,0,2.67,2.13,喀麦隆,,2038719,,14.0,18.0,40.0,100.0,5.95,8.0,20.0,80.0,6.0,7.0,17.0,80.0,8.5,10.5,28.0,70.0,,,,0.6,1.2,2.0,强,大球,"0,3",,,,,,,,,"3,5",1.0,1.2,0,"['首选0球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+3球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
2.6,5:1,6,库拉索,1,36.4,6,22.2,5,13.8,3,7.1,6,-14.3,5,-23.8,4,-43.2,5,-48.6,5,20.5,5,-7.6,5,21.9,4,15.4,2.2,4.4,15.0,5.5,3.7,3.75,4.8,8.0,12.5,18.0,1.8,5.0,9.75,9.75,1.21,8.54,1.21,0,3.58,0,0,3.4,1.8,澳大利亚,,2038720,,15.0,20.0,60.0,200.0,5.75,9.0,28.0,100.0,5.5,7.5,22.0,90.0,7.5,9.5,30.0,80.0,,,,2.0,0.6,2.2,强(防守一致),大球,"0,3",,,,,,,,,"3,6",0.6,1.2,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+3球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
3.2,0:0,0,瑞士,1,13.3,2,14.0,3,8.3,1,2.9,1,-3.2,2,-10.5,3,-18.8,4,-34.8,0,0,1,-2.1,1,4.1,0,0,3.6,7.2,17.0,6.5,3.9,3.5,4.6,7.25,13.0,15.0,4.0,3.5,3.28,3.5,1.86,1.64,1.86,0,3.6,0,0,1.71,3.75,挪威,,2038721,,17.0,13.0,20.0,40.0,9.0,7.25,9.5,22.0,11.5,7.5,11.0,23.0,19.0,13.5,18.0,35.0,,,,2.0,1.2,3.6,中,大球,"0,1",,,,,,,,,"3,4,6",3.0,1.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
1.0,2:3,5,斯洛文尼亚,0,0,0,0,1,1.6,0,0,0,0,0,0,1,-7.1,1,-9.5,0,0,2,5.5,2,-4.1,0,0,2.2,4.4,9.0,4.0,3.15,3.65,6.25,13.0,26.0,38.0,3.4,3.0,2.12,3.08,2.12,0.96,3.08,1.0,3.6,0,1,4.95,1.54,黑山,,2038722,,9.0,6.75,10.0,23.0,7.75,6.25,7.75,18.0,13.0,9.25,14.0,29.0,31.0,26.0,36.0,80.0,,,,0.2,0.8,2.2,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.6,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
2.8,0:0,0,希腊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6.7,2.7,5.4,10.0,4.4,3.1,3.6,6.0,11.0,25.0,35.0,2.6,3.0,2.66,3.0,2.38,0.6200000000000001,2.38,0,3.95,0,0,1.44,5.5,匈牙利,,2038723,,10.0,8.0,13.0,30.0,7.5,6.25,8.75,22.0,11.0,7.75,12.5,30.0,23.0,20.0,28.0,60.0,,,,1.0,1.8,2.7,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
2.6,1:2,3,巴拿马,0,0,1,2.6,1,1.6,0,0,0,0,1,-7.1,1,-9.1,1,-16.0,0,0,0,0,0,0,2,-9.5,2.7,5.4,8.25,3.9,3.1,3.75,6.5,13.0,30.0,42.0,2.8,2.95,3.6,3.6,1.95,1.6500000000000001,1.95,0,3.32,0,0,1.66,4.45,南非,,2038724,,8.25,8.0,16.0,45.0,6.0,6.25,10.5,34.0,8.25,7.0,15.0,40.0,19.0,18.0,30.0,80.0,,,,1.6,1.0,2.7,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.4,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
2.6,2:1,3,巴拉圭,1,6.2,2,8.1,2,-4.9,2,-5.2,0,0,0,0,1,3.7,1,9.8,0,0,0,0,0,0,0,0,1.8,3.6,8.5,4.0,2.9,3.65,7.0,15.0,28.0,45.0,1.0,3.2,4.2,4.2,1.73,2.47,1.73,0,3.05,0,0,1.86,3.8,摩洛哥,,2038725,,8.5,9.5,18.0,55.0,5.4,6.5,11.5,38.0,7.25,7.25,16.0,50.0,16.0,17.0,28.0,80.0,,,,1.2,1.4,1.8,中,小球,"0,1",,,,,,,,,"0,1,2",0.8,0.2,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
2.4,0:0,0,乌拉圭,0,0,1,3.9,1,3.3,0,0,1,-2.3,1,-7.1,1,-17.9,1,-14.6,0,0,0,0,0,0,0,0,2.5999999999999996,5.199999999999999,8.75,4.0,3.15,3.7,6.35,13.0,23.0,41.0,2.8,3.12,1.78,4.05,1.78,2.2699999999999996,4.05,1.0,3.3,0,1,3.78,1.78,阿尔及利亚,,2038726,,8.75,6.0,7.5,15.0,9.0,6.5,7.0,16.0,19.0,10.5,15.0,30.0,50.0,39.0,41.0,80.0,,,,1.0,1.4,2.6,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",2.2,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
3.8,0:1,1,科特迪瓦,0,0,1,2.4,1,1.6,0,0,0,0,1,-4.2,1,-8.3,1,-10.0,0,0,0,0,0,0,0,0,3.8,7.6,9.5,4.3,3.15,3.65,6.1,11.5,22.0,36.0,3.8,3.15,1.95,3.35,1.95,1.4000000000000001,3.35,1.0,3.55,0,1,4.2,1.64,苏格兰,,2038727,,9.5,6.25,9.5,20.0,8.5,6.25,7.5,17.0,16.0,9.5,13.5,28.0,36.0,28.0,36.0,70.0,,,,0.0,0.0,0,弱(矛盾留空),大球,"0,1",,,,,,,,,"0,1,2",0.0,0.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
1.6,1:1,2,厄瓜多尔,0,0,1,2.2,1,1.6,0,0,0,0,0,0,1,-9.5,1,-14.3,0,0,0,0,0,0,0,0,2.5,5.0,12.0,4.7,3.25,3.5,5.6,10.0,19.0,30.0,3.4,3.88,6.35,6.35,1.4,4.949999999999999,1.4,0,3.28,0,0,2.45,2.4,荷兰,,2038728,,12.0,13.5,30.0,85.0,6.25,7.75,17.0,55.0,6.5,6.75,17.0,45.0,10.0,11.0,24.0,80.0,,,,1.0,0.6,2.5,弱(矛盾留空),大球,"0,2",,,,,,,,,"0,2,3",3.0,0.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
3.0,0:1,1,日本,1,7.1,2,9.8,1,4.4,0,0,2,-6.9,1,-5.6,1,-11.1,1,-14.3,0,0,0,0,0,0,0,0,2.9,5.8,15.0,5.6,3.55,3.4,4.75,8.5,16.0,24.0,2.8,4.1,5.85,5.85,1.4,4.449999999999999,1.4,0,3.33,0,0,2.45,2.38,英格兰,,2038729,,15.0,16.0,36.0,120.0,6.75,8.5,17.0,55.0,6.5,6.5,17.0,48.0,9.5,10.0,22.0,70.0,,,,2.2,0.8,2.9,强,大球,"0,2",,,,,,,,,"3,4,5",2.6,0.2,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
2.8,1:0,1,韩国,1,7.1,2,6.5,1,5.6,0,0,2,-6.0,1,-4.7,1,-10.0,1,-9.1,0,0,0,0,0,0,0,0,3.5,7.0,15.0,5.75,3.8,3.45,4.7,8.1,13.5,20.0,4.2,4.05,5.6,5.6,1.42,4.18,1.42,0,3.38,0,0,2.45,2.35,奥地利,,2038730,,15.0,15.0,33.0,90.0,7.4,7.8,15.0,38.0,7.25,6.5,16.0,40.0,11.0,11.0,20.0,55.0,,,,1.0,1.8,3.5,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,5",3.6,0.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
3.8,0:1,1,土耳其,0,0,1,2.1,1,1.5,0,0,0,0,0,0,1,-8.3,1,-10.7,0,0,0,0,0,0,1,2.8,3.0999999999999996,6.199999999999999,12.0,4.8,3.35,3.55,5.5,10.0,16.5,25.0,2.4,3.35,1.78,3.72,1.78,1.9400000000000002,3.72,1.0,3.6,0,1,3.41,1.79,科索沃,,2038731,,12.0,7.0,8.5,15.0,11.0,6.25,7.0,13.0,19.0,10.5,13.0,23.0,50.0,30.0,35.0,60.0,,,,3.0,0.8,3.1,中,大球,"0,1",,,,,,,,,"3,4,5",1.6,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,世界杯预选赛,国际赛,国际赛,国际,国家队赛事,世界杯预选赛
2.6,3:2,5,波兰,0,0,2,9.4,2,0,1,-4.1,0,0,1,-3.8,1,-8.7,2,-5.7,0,0,0,0,0,0,0,0,2.7,5.4,8.5,4.65,3.1,3.55,6.3,12.5,21.0,33.0,2.8,2.96,3.59,3.59,1.95,1.64,1.95,0,3.58,0,0,1.65,4.1,瑞典,,2038732,,8.5,9.5,18.0,60.0,6.25,5.75,10.5,35.0,8.25,7.0,14.0,45.0,16.0,15.0,30.0,70.0,,,,1.8,0.8,2.7,强(防守强化),大球,"0,2",,,,,,,,,"3,4,5",1.0,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,世界杯预选赛,国际赛,国际赛,国际,国家队赛事,世界杯预选赛
3.2,1:1,2,意大利,0,0,2,0,1,3.2,1,-4.1,0,0,0,0,2,4.5,2,0,0,0,0,0,0,0,1,0.9,3.3,6.6,9.5,4.3,3.25,3.55,6.0,12.0,23.0,30.0,3.4,4.16,1.3,8.35,1.3,7.05,8.35,1.0,3.24,0,1,2.1,2.9,波黑,,2038733,,9.5,5.1,5.4,8.5,15.0,7.1,6.75,12.0,55.0,22.0,22.0,28.0,175.0,90.0,100.0,150.0,,,,2.2,1.0,3.3,弱(矛盾留空),大球,"0,1",,,,,,,,,"0,1,2",2.2,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,世界杯预选赛,国际赛,国际赛,国际,国家队赛事,世界杯预选赛
4.8,1:1,2,丹麦,0,0,1,3.6,1,3.2,0,0,0,0,1,-8.0,1,-9.1,1,-14.3,0,0,0,0,0,0,1,2.1,3.8,7.6,9.0,4.35,3.2,3.7,6.3,11.5,20.0,30.0,2.8,3.09,1.88,3.65,1.88,1.77,3.65,1.0,3.55,0,1,3.9,1.69,捷克,,2038734,,9.0,6.2,8.25,17.0,8.75,5.6,7.0,16.0,17.0,10.5,13.0,30.0,50.0,33.0,50.0,80.0,,,,3.4,1.4,3.8,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",2.0,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,世界杯预选赛,国际赛,国际赛,国际,国家队赛事,世界杯预选赛
2.4,0:0,0,埃及,1,4.2,3,9.7,3,11.1,1,-2.8,2,-4.7,1,-2.3,1,-5.0,1,-8.3,0,0,0,0,0,0,1,8.7,2.9,5.8,25.0,7.9,5.0,3.45,4.1,6.35,9.5,11.0,3.4,99.0,99.0,99.0,99.0,0.0,99.0,0,4.05,0,0,2.69,1.96,西班牙,,2038735,,25.0,39.0,90.0,450.0,8.0,14.5,39.0,150.0,6.0,8.75,28.0,120.0,6.75,9.5,28.0,120.0,,,,1.6,0.8,2.9,中(防守矛盾⚠️),大球,"1,2",,,,,,,,,"3,4,5",3.0,0.4,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,国际赛,国际赛,国际赛,国际,国家队赛事,国际赛
1.6,0:0,0,牙买加,0,0,1,-4.2,0,0,1,3.8,1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3.2,7.0,3.4,3.0,4.15,7.7,17.0,31.0,45.0,1.6,3.0,4.45,4.45,1.75,2.7,1.75,0,3.05,0,0,1.85,3.85,刚果(金),,2038736,,7.0,9.0,23.0,70.0,4.5,5.5,15.0,60.0,6.75,7.25,20.0,60.0,14.0,18.0,40.0,120.0,,,,1.4,0.2,1.6,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",1.4,0.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,世界杯预选赛,国际赛,国际赛,国际,国家队赛事,世界杯预选赛
